loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], magADC[0], magADC[1], magADC[2], BaroAlt (cm), debug[0], debug[1], debug[2], debug[3]
  1, 1370,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   5,   4,   3, 950, 535, 16428,  91,  91,  91,  91, -151,  11, -557, 9,  16, -94, 23293,   0
  2, 3322,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   3,  -2,   1, 1077, 461, 16536,  91,  91,  91,  91, -151,   9, -568, 50,  16, -94, 23390,   0
  3, 5493,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -2,  13,  -4, 1082, 437, 16462,  91,  91,  91,  91, -151,   9, -568, 65,  16, -94, 23391,   0
  4, 7668,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   3,  -9,   7, 1070, 513, 16346,  91,  91,  91,  91, -158,   8, -560, 46,  16, -94, 23461,   0
  5, 9831,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   3,  13,   3, 1053, 553, 16369,  91,  91,  91,  91, -158,   8, -560, 34,  16, -93, 23461,   0
  6, 11939,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   9,   6,   8, 1014, 502, 16490,  91,  91,  91,  91, -159,   9, -558, 56,  16, -93, 23394,   0
  7, 14111,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -2,  -6,  12, 1100, 541, 16521,  91,  91,  91,  91, -159,   9, -558, 82,  16, -93, 23394,   0
  8, 16285,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   8,   9,   8, 938, 607, 16358,  91,  91,  91,  91, -165,   8, -545, 61,  16, -92, 23471,   0
  9, 18630,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   7,   6,  -5, 1065, 581, 16400,  91,  91,  91,  91, -165,   8, -545, 54,  16, -92, 23471,   0
 10, 20803,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   6,  -8,   4, 1117, 533, 16396,  91,  91,  91,  91, -157,   5, -552, 47,  16, -92, 23584,   0
 11, 22977,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   6, -10,   6, 970, 606, 16377,  91,  91,  91,  91, -157,   5, -552, 36,  16, -92, 23584,   0
 12, 25213,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   7, -10,   0, 1088, 569, 16497,  91,  91,  91,  91, -157,   5, -552, 57,  16, -91, 23583,   0
 13, 27327,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   8,   2,   7, 981, 622, 16478,  91,  91,  91,  91, -157,   5, -552, 69,  17, -91, 23583,   0
 14, 29499,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   5,  -5,   8, 1018, 494, 16443,  91,  91,  91,  91, -157,   5, -552, 72,  17, -91, 23583,   0
 15, 31670,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   1,  -1,  -7, 973, 670, 16401,  91,  91,  91,  91, -167,  13, -557, 62,  17, -91, 23254,   0
 16, 34017,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   1,   0,  -6, 1033, 594, 16357,  91,  91,  91,  91, -167,  13, -557, 43,  17, -90, 23254,   0
 17, 36189,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   1,  -4,   0, 980, 666, 16408,  91,  91,  91,  91, -155,  14, -558, 40,  17, -90, 23127,   0
 18, 38362,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   1,   0,   0, 1080, 629, 16470,  91,  91,  91,  91, -155,  14, -558, 53,  17, -90, 23126,   0
