loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], magADC[0], magADC[1], magADC[2], BaroAlt (cm), debug[0], debug[1], debug[2], debug[3]
 88, 192195,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -9,  11,   5, 1023, 1033, 16506,  91,  91,  91,  91, -164, -17, -554, 80,   0,   0,   0,   0
 89, 194433,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -2,   6,   5, 1001, 945, 16416,  91,  91,  91,  91, -164, -17, -554, 69,   0,   0,   0,   0
 90, 196539,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -4,  -4,   3, 1107, 948, 16501,  91,  91,  91,  91, -164, -17, -554, 80,   0,   0,   0,   0
 91, 198711,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -5,   7,   0, 1123, 912, 16482,  91,  91,  91,  91, -164, -17, -554, 85,   0,   0,   0,   0
 92, 200786,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -4,  -8,   3, 1040, 965, 16513,  48,  48,  48,  48, -171, -16, -536, 97,   0,   0,   0,   0
 93, 203128,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -8,   6,   0, 1162, 967, 16466,  48,  48,  48,  48, -171, -16, -536, 95,   0,   0,   0,   0
 94, 205299,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, -10,  -2,   4, 1016, 993, 16381,  48,  48,  48,  48, -161, -12, -541, 72,   0,   0,   0,   0
 95, 207472,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -8,   5,  -5, 1021, 849, 16467,  48,  48,  48,  48, -161, -12, -541, 75,   0,   0,   0,   0
 96, 209717,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, -15,   2,   5, 1042, 797, 16416,  48,  48,  48,  48, -171, -17, -543, 64,   0,   0,   0,   0
 97, 211818,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -8,   7,   1, 1154, 1007, 16494,  48,  48,  48,  48, -171, -17, -543, 74,   0,   0,   0,   0
 98, 213991,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -4,  -3,   4, 1092, 896, 16400,  48,  48,  48,  48, -166, -20, -557, 59,   0,   0,   0,   0
 99, 216174,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -9,   6, -11, 1053, 893, 16315,  48,  48,  48,  48, -166, -20, -557, 25,   0,   0,   0,   0
100, 218506,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   2,   2,  -6, 1108, 892, 16552,  48,  48,  48,  48, -161, -19, -553, 56,   0,   0,   0,   0
101, 220678,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -5,  -5,  -6, 1084, 908, 16544,  48,  48,  48,  48, -161, -19, -553, 80,   0,   0,   0,   0
102, 222852,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -6,  -5,  -2, 1097, 784, 16474,  48,  48,  48,  48, -171, -14, -548, 83,   0,   0,   0,   0
103, 225100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,  -1,  -4, 1103, 924, 16505,  48,  48,  48,  48, -171, -14, -548, 93,   0,   0,   0,   0
104, 227035,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -4,   1,   3, 1112, 900, 16424,  48,  48,  48,  48, -171, -14, -548, 81,   0,   0,   0,   0
105, 229208,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   8,   8,   0, 1075, 980, 16424,  48,  48,  48,  48, -171, -14, -548, 71,   0,   0,   0,   0
106, 231381,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  11,   8,   4, 1122, 1023, 16439,  48,  48,  48,  48, -171, -14, -548, 67,   0,   0,   0,   0
107, 233554,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -2,  -9,   5, 1009, 889, 16591,  48,  48,  48,  48, -156, -24, -565, 102,   0,   0,   0,   0
108, 235896,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -4,  -2,   0, 1027, 1013, 16603,  48,  48,  48,  48, -156, -24, -565, 135,   0,   0,   0,   0
109, 238067,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   3,   0,   0, 1001, 865, 16525,  48,  48,  48,  48, -163, -13, -573, 143,   0,   0,   0,   0
110, 240240,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  10,  -1,  -1, 1060, 960, 16443,  48,  48,  48,  48, -163, -13, -573, 128,   0,   0,   0,   0
111, 242415,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, -12,   0, 1080, 865, 16649,  48,  48,  48,  48, -171, -19, -536, 168,   0,   0,   0,   0
