loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], magADC[0], magADC[1], magADC[2], BaroAlt (cm), debug[0], debug[1], debug[2], debug[3]
  1, 1372,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -3,  -6,   9, 1171, 931, 16396,  91,  91,  91,  91, -165, -24, -547, -7,   0,   0,   0,   0
  2, 3323,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   5,   6,   0, 1126, 992, 16525,  91,  91,  91,  91, -165, -24, -547, 22,   0,   0,   0,   0
  3, 5521,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -10, -16, -13, 1178, 1031, 16384,  91,  91,  91,  91, -165, -24, -547, 10,   0,   0,   0,   0
  4, 7721,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -11,   3,   0, 1103, 964, 16443,  91,  91,  91,  91, -165, -24, -547, 16,   0,   0,   0,   0
  5, 9834,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -1,   4,  -7, 1079, 1008, 16494,  91,  91,  91,  91, -156, -16, -560, 34,   0,   0,   0,   0
  6, 11941,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -3,   8,   4, 1133, 1023, 16579,  91,  91,  91,  91, -156, -16, -560, 72,   0,   0,   0,   0
  7, 14111,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -11,  -8,  -5, 1019, 1033, 16459,  91,  91,  91,  91, -166, -10, -557, 73,   0,   0,   0,   0
  8, 16284,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -1,   1,   2, 1115, 928, 16490,  91,  91,  91,  91, -166, -10, -557, 82,   0,   0,   0,   0
  9, 18666,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -8,  -4,   5, 1024, 921, 16471,  91,  91,  91,  91, -172, -15, -548, 84,   0,   0,   0,   0
 10, 20805,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -1,   7,   0, 1047, 1016, 16471,  91,  91,  91,  91, -172, -15, -548, 85,   0,   0,   0,   0
 11, 22985,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -4,   1,  -2, 1169, 1023, 16540,  91,  91,  91,  91, -158, -19, -547, 103,   0,   0,   0,   0
 12, 25225,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -12,   5,  -9, 1123, 972, 16486,  91,  91,  91,  91, -158, -19, -547, 105,   0,   0,   0,   0
 13, 27323,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -3,   1,  -8, 1027, 1017, 16467,  91,  91,  91,  91, -159, -13, -554, 102,   0,   0,   0,   0
 14, 29496,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -21,  10,  -2, 1012, 961, 16568,  91,  91,  91,  91, -159, -13, -554, 125,   0,   0,   0,   0
 15, 31669,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -5, -11,   7, 1143, 987, 16342,  91,  91,  91,  91, -158, -16, -549, 86,   0,   0,   0,   0
 16, 34016,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -2,   6,  -3, 1092, 940, 16435,  91,  91,  91,  91, -158, -16, -549, 77,   0,   0,   0,   0
 17, 36188,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   0,  -2,  11, 1060, 988, 16401,  91,  91,  91,  91, -157, -23, -546, 61,   0,   0,   0,   0
 18, 38395,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   7,   0, -10, 1065, 865, 16428,  91,  91,  91,  91, -157, -23, -546, 54,   0,   0,   0,   0
 19, 40599,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -5,   2,   4, 1068, 956, 16435,  91,  91,  91,  91, -161, -20, -545, 50,   0,   0,   0,   0
 20, 42706,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   2,   0,  -4, 986, 834, 16381,  91,  91,  91,  91, -161, -20, -545, 34,   0,   0,   0,   0
 21, 44878,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -9,  -7,   5, 1013, 881, 16424,  91,  91,  91,  91, -161, -20, -545, 31,   0,   0,   0,   0
 22, 47053,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   6,  13,   9, 1072, 956, 16307,  91,  91,  91,  91, -177, -20, -542, -1,   0,   0,   0,   0
 23, 49432,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   2,   3,  11, 1085, 880, 16361,  91,  91,  91,  91, -177, -20, -542, -15,   0,   0,   0,   0
 24, 51571,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -1,  -9,   4, 1075, 968, 16509,  91,  91,  91,  91, -171, -12, -561, 10,   0,   0,   0,   0
 25, 53777,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   0,  -3,  -7, 1111, 992, 16361,  91,  91,  91,  91, -171, -12, -561, -5,   0,   0,   0,   0
 26, 55983,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -6,   7,  -8, 1041, 865, 16556,  91,  91,  91,  91, -165, -14, -541, 30,   0,   0,   0,   0
 27, 58088,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   2,  -8,  -6, 1008, 965, 16517,  91,  91,  91,  91, -165, -14, -541, 51,   0,   0,   0,   0
 28, 60259,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   2,  -2,  -6, 1096, 932, 16435,  91,  91,  91,  91, -171, -18, -536, 48,   0,   0,   0,   0
 29, 62435,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   7,  -5,  -1, 1083, 944, 16564,  91,  91,  91,  91, -171, -18, -536, 77,   0,   0,   0,   0
 30, 64782,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   5,   0,   3, 1107, 928, 16533,  91,  91,  91,  91, -163, -18, -544, 95,   0,   0,   0,   0
 31, 66954,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   4,   4,  10, 1033, 869, 16560,  91,  91,  91,  91, -163, -18, -544, 117,   0,   0,   0,   0
 32, 69127,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   2, -11,  -4, 1068, 913, 16564,  91,  91,  91,  91, -165, -15, -556, 136,   0,   0,   0,   0
 33, 71367,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  12,   2,   1, 1133, 1039, 16533,  91,  91,  91,  91, -165, -15, -556, 144,   0,   0,   0,   0
 34, 73471,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   0,  -6,   9, 1135, 924, 16532,  91,  91,  91,  91, -169, -16, -547, 151,   0,   0,   0,   0
 35, 75645,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   7,   9,  -1, 949, 882, 16564,  91,  91,  91,  91, -169, -16, -547, 166,   0,   0,   0,   0
 36, 77819,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  11,   2,   0, 1090, 976, 16657,  91,  91,  91,  91, -169, -16, -547, 201,   0,   0,   0,   0
 37, 80166,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   5,   0,   2, 1047, 996, 16432,  91,  91,  91,  91, -169, -16, -547, 174,   0,   0,   0,   0
 38, 82338,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  12,   2,  -2, 1161, 1039, 16618,  91,  91,  91,  91, -169, -16, -547, 198,   0,   0,   0,   0
 39, 84512,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -1,  18,   9, 1110, 1028, 16544,  91,  91,  91,  91, -157, -20, -546, 199,   0,   0,   0,   0
 40, 86748,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   1, -11,  -1, 1026, 1061, 16568,  91,  91,  91,  91, -157, -20, -546, 207,   0,   0,   0,   0
 41, 88854,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -5,   8,   0, 1039, 1056, 16459,  91,  91,  91,  91, -170, -17, -551, 186,   0,   0,   0,   0
 42, 91029,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   8,  -3,   8, 1049, 1156, 16552,  91,  91,  91,  91, -170, -17, -551, 192,   0,   0,   0,   0
 43, 93200,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -1,  11,  -7, 1042, 1060, 16494,  91,  91,  91,  91, -164, -21, -553, 183,   0,   0,   0,   0
 44, 95581,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -7,  10,  -2, 1042, 1057, 16537,  91,  91,  91,  91, -164, -21, -553, 185,   0,   0,   0,   0
 45, 97720,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -18,  -6,   0, 1079, 992, 16537,  91,  91,  91,  91, -170, -16, -548, 187,   0,   0,   0,   0
 46, 99893,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -6,  -2,   0, 1111, 1020, 16404,  91,  91,  91,  91, -170, -16, -548, 155,   0,   0,   0,   0
 47, 102132,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -9,  14,   0, 1118, 1067, 16412,  91,  91,  91,  91, -162, -18, -551, 130,   0,   0,   0,   0
 48, 104237,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -1,   2,  -3, 952, 990, 16452,  91,  91,  91,  91, -162, -18, -551, 120,   0,   0,   0,   0
 49, 106411,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -18,   0,  -1, 1091, 956, 16587,  91,  91,  91,  91, -165, -18, -553, 144,   0,   0,   0,   0
 50, 108585,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -3,   4,   2, 1021, 937, 16342,  91,  91,  91,  91, -165, -18, -553, 104,   0,   0,   0,   0
 51, 110929,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -12,  -6,   8, 1095, 1000, 16365,  91,  91,  91,  91, -165, -10, -565, 75,   0,   0,   0,   0
 52, 113101,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -9,   3,   0, 1099, 944, 16529,  91,  91,  91,  91, -165, -10, -565, 92,   0,   0,   0,   0
 53, 115278,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -4,   6,  15, 1060, 952, 16424,  91,  91,  91,  91, -165, -10, -565, 80,   0,   0,   0,   0
 54, 117521,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -2,  16,   0, 1123, 987, 16354,  91,  91,  91,  91, -163, -23, -546, 51,   0,   0,   0,   0
 55, 119629,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -15,   4, -14, 1084, 944, 16455,  91,  91,  91,  91, -163, -23, -546, 53,   0,   0,   0,   0
 56, 121795,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -1,   0,  12, 1068, 940, 16346,  91,  91,  91,  91, -154, -21, -567, 27,   0,   0,   0,   0
 57, 123969,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   3,   2,  10, 969, 938, 16370,  91,  91,  91,  91, -154, -21, -567, 12,   0,   0,   0,   0
 58, 126346,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -12,   1,   0, 1073, 864, 16416,  91,  91,  91,  91, -168, -18, -555, 10,   0,   0,   0,   0
 59, 128487,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   2,   2,  -2, 1095, 908, 16560,  91,  91,  91,  91, -168, -18, -555, 45,   0,   0,   0,   0
 60, 130692,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -8,   4,  12, 1108, 840, 16490,  91,  91,  91,  91, -157, -12, -548, 57,   0,   0,   0,   0
 61, 132896,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   3,   8, -10, 973, 922, 16467,  91,  91,  91,  91, -157, -12, -548, 62,   0,   0,   0,   0
 62, 135003,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -9,   4,   0, 1105, 808, 16517,  91,  91,  91,  91, -167, -20, -564, 78,   0,   0,   0,   0
 63, 137176,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   8, -11, -11, 1033, 901, 16494,  91,  91,  91,  91, -167, -20, -564, 86,   0,   0,   0,   0
 64, 139350,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  13,   4,   2, 1020, 1009, 16401,  91,  91,  91,  91, -172, -19, -529, 69,   0,   0,   0,   0
 65, 141695,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -9,   3,   2, 964, 938, 16658,  91,  91,  91,  91, -172, -19, -529, 121,   0,   0,   0,   0
 66, 143868,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   0,  -2,  -5, 1061, 837, 16587,  91,  91,  91,  91, -169, -18, -549, 146,   0,   0,   0,   0
 67, 146041,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   6,  -2,  -3, 1027, 993, 16498,  91,  91,  91,  91, -169, -18, -549, 145,   0,   0,   0,   0
 68, 148280,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -2,   0,   9, 1066, 1048, 16615,  91,  91,  91,  91, -171, -24, -540, 173,   0,   0,   0,   0
 69, 150389,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  14,   2, -10, 1068, 928, 16478,  91,  91,  91,  91, -171, -24, -540, 162,   0,   0,   0,   0
 70, 152562,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  10,   0,  -8, 1056, 953, 16486,  91,  91,  91,  91, -160, -19, -542, 156,   0,   0,   0,   0
 71, 154734,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  11,   6,  -8, 1131, 968, 16482,  91,  91,  91,  91, -160, -19, -542, 148,   0,   0,   0,   0
 72, 157083,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   6,   4,  10, 1123, 932, 16606,  91,  91,  91,  91, -160, -19, -542, 174,   0,   0,   0,   0
 73, 159253,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   6,  -4,   1, 1068, 976, 16397,  91,  91,  91,  91, -163, -15, -554, 142,   0,   0,   0,   0
 74, 161429,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   4,   5,   6, 1050, 1040, 16548,  91,  91,  91,  91, -163, -15, -554, 154,   0,   0,   0,   0
 75, 163666,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   5,   1, -11, 1052, 893, 16622,  91,  91,  91,  91, -180, -15, -543, 183,   0,   0,   0,   0
 76, 165772,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  13,   6,   8, 1056, 941, 16463,  91,  91,  91,  91, -180, -15, -543, 168,   0,   0,   0,   0
 77, 167945,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   4,   0,   6, 1166, 1003, 16521,  91,  91,  91,  91, -171, -15, -545, 168,   0,   0,   0,   0
 78, 170118,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   0,  11,  -7, 1103, 1024, 16393,  91,  91,  91,  91, -171, -15, -545, 136,   0,   0,   0,   0
 79, 172465,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   5,  -4,   2, 1054, 1080, 16447,  91,  91,  91,  91, -164, -15, -542, 124,   0,   0,   0,   0
 80, 174638,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  14,   0,   7, 1173, 1087, 16490,  91,  91,  91,  91, -164, -15, -542, 123,   0,   0,   0,   0
 81, 176813,   0,   0,   0,   0,   0, -100,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   0,   0,  15, 1043, 1025, 16525,  91,  91,  91,  91, -165, -16, -529, 132,   0,   0,   0,   0
 82, 179049,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -7,  -7, -11, 1082, 1092, 16455,  91,  91,  91,  91, -165, -16, -529, 122,   0,   0,   0,   0
 83, 181153,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -16,   4, -11, 1103, 1028, 16404,  91,  91,  91,  91, -164, -19, -535, 101,   0,   0,   0,   0
 84, 183329,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,   1,  11,   5, 1038, 1064, 16475,  91,  91,  91,  91, -164, -19, -535, 101,   0,   0,   0,   0
 85, 185500,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91,  -8,  -1,  -5, 1166, 991, 16458,  91,  91,  91,  91, -176, -17, -546, 96,   0,   0,   0,   0
 86, 187849,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -14,  -6,   9, 1118, 1024, 16466,  91,  91,  91,  91, -176, -17, -546, 94,   0,   0,   0,   0
 87, 190021,   0,   0,   0,   0,   0, -99,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  91, -11,  -9,   2, 1096, 912, 16365,  91,  91,  91,  91, -164, -17, -554, 67,   0,   0,   0,   0
