-0.895783	0.040842	0.095883
0.083363	-0.975853	0.076297
1.069567	-0.017519	0.132800
0.092536	0.997393	0.131310
-0.896208	0.038164	0.087775
-0.901779	0.040348	0.046227
0.084432	-0.974242	0.071337
1.077013	-0.009901	0.071807
0.089102	0.997938	0.129051
0.087725	-0.014613	0.933228
0.087466	-0.015546	0.932041
0.120020	0.038698	-1.054559
0.120296	0.039157	-1.053644
0.080724	0.013693	-1.057956
0.060192	0.052533	-1.055543
0.061975	0.053765	-1.055655
0.083149	0.015463	-1.055953
0.080593	0.016423	-1.057841
0.069759	-0.008611	0.930675
0.079013	-0.019995	0.932401
0.087881	-0.014699	0.932659
0.082253	-0.004045	0.932458
0.081607	-0.004903	0.934213
