55.866337;5.514473;55.866337;9.827530;0.00;0.00;-3.43;3.51;144.88;0;
55.866337;5.514473;55.866337;9.827533;0.00;0.00;-3.43;3.51;144.09;0;
55.866337;5.514473;55.866333;9.827535;0.00;0.00;-3.43;3.51;146.55;0;
55.866337;5.514473;55.866333;9.827538;0.00;0.00;-3.35;3.52;146.34;0;
55.866337;5.514473;55.866333;9.827539;0.00;0.00;-3.32;3.56;148.95;0;
55.866337;5.514473;55.866329;9.827542;0.00;0.00;-3.27;3.57;146.64;0;
55.866337;5.514473;55.866329;9.827544;0.00;0.00;-3.27;3.59;150.61;0;
55.866337;5.514473;55.866329;9.827547;0.00;0.00;-3.21;3.62;147.76;0;
55.866337;5.514473;55.866325;9.827549;0.00;0.00;-3.23;3.65;144.35;0;
55.866337;5.514473;55.866322;9.827551;0.00;0.00;-3.24;3.65;148.76;0;
55.866337;5.514473;55.866322;9.827553;0.00;0.00;-3.24;3.62;147.54;0;
55.866337;5.514473;55.866318;9.827555;0.00;0.00;-3.25;3.61;148.90;0;
55.866337;5.514473;55.866314;9.827556;0.00;0.00;-3.26;3.58;144.12;0;
55.866337;5.514473;55.866314;9.827558;0.00;0.00;-3.26;3.61;147.08;0;
55.866337;5.514473;55.866310;9.827559;0.00;0.00;-3.23;3.58;147.82;0;
55.866337;5.514473;55.866310;9.827561;0.00;0.00;-3.22;3.57;145.72;0;
55.866337;5.514473;55.866306;9.827563;0.00;0.00;-3.22;3.59;147.95;0;
55.866337;5.514473;55.866306;9.827566;0.00;0.00;-3.23;3.58;148.23;0;
55.866337;5.514473;55.866302;9.827568;0.00;0.00;-3.22;3.58;145.80;0;
55.866337;5.514473;55.866302;9.827571;0.00;0.00;-3.23;3.57;145.35;0;
55.866337;5.514473;55.866299;9.827573;0.00;0.00;-3.24;3.55;149.14;0;
55.866337;5.514473;55.866299;9.827575;0.00;0.00;-3.22;3.56;147.74;0;
55.866337;5.514473;55.866299;9.827577;0.00;0.00;-3.23;3.58;144.57;0;
55.866337;5.514473;55.866299;9.827576;0.00;0.00;-3.22;3.55;147.68;0;
55.866337;5.514473;55.866299;9.827577;0.00;0.00;-3.23;3.55;147.35;0;
55.866337;5.514473;55.866299;9.827577;0.00;0.00;-3.23;3.57;146.71;0;
55.866337;5.514473;55.866299;9.827577;0.00;0.00;-3.22;3.53;145.88;0;
55.866337;5.514473;55.866299;9.827577;0.00;0.00;-3.21;3.53;142.48;0;
55.866337;5.514473;55.866299;9.827577;0.00;0.00;-3.23;3.56;149.32;0;
55.866337;5.514473;55.866299;9.827578;0.00;0.00;-3.15;3.50;148.02;0;
55.866337;5.514473;55.866299;9.827575;0.00;0.00;-3.42;3.71;145.60;0;
55.866337;5.514473;55.866302;9.827574;0.00;0.00;-2.92;3.30;145.06;0;
55.866337;5.514473;55.866299;9.827574;0.00;0.00;-3.39;3.48;149.13;0;
55.866337;5.514473;55.866299;9.827572;0.00;0.00;-3.27;3.49;147.57;0;
55.866337;5.514473;55.866299;9.827575;0.00;0.00;-3.25;3.50;144.92;0;
55.866337;5.514473;55.866299;9.827573;0.00;0.00;-3.02;3.37;148.34;0;
55.866337;5.514473;55.866299;9.827573;0.00;0.00;-3.28;3.91;150.05;0;
55.866337;5.514473;55.866302;9.827571;0.00;0.00;-3.15;3.61;149.89;0;
55.866337;5.514473;55.866302;9.827568;0.00;0.00;-3.04;3.48;144.79;0;
